369,1593,368,1,2
370,1589,371,2,1
375,1593,376,2,1
380,1585,402,3,0
381,1585,403,3,0
381,1590,359,0,3
382,1585,404,3,0
382,1589,381,1,2
383,1584,1584,4,0
383,1591,382,1,2
384,1584,406,3,0
386,1594,385,1,2
388,1584,410,3,0
389,1584,411,3,0
389,1585,411,3,0
389,1591,388,1,2
390,1584,412,3,0
390,1585,412,3,0
390,1589,389,1,2
390,1591,389,1,2
391,1584,413,3,0
391,1585,413,3,0
391,1591,390,1,2
392,1589,393,2,1
393,1591,394,2,1
397,1593,398,2,1
400,1590,422,3,0
402,1584,380,0,3
402,1585,424,3,0
403,1584,381,0,3
403,1585,425,3,0
404,1584,382,0,3
404,1585,426,3,0
404,1589,403,1,2
405,1584,383,0,3
408,1594,407,1,2
411,1585,433,3,0
411,1591,410,1,2
412,1591,411,1,2
413,1589,435,3,0
413,1591,412,1,2
414,1589,415,2,1
415,1591,416,2,1
424,1584,425,2,1
424,1585,425,2,1
425,1584,426,2,1
425,1585,426,2,1
426,1584,427,2,1
426,1589,425,1,2
426,1590,427,2,1
427,1584,1584,4,0
430,1594,429,1,2
431,1592,409,0,3
432,1592,410,0,3
433,1585,1585,4,0
433,1591,432,1,2
433,1592,411,0,3
434,1589,433,1,2
434,1592,412,0,3
435,1589,434,1,2
435,1592,413,0,3
436,1589,437,2,1
437,1591,438,2,1
441,1592,442,2,1
444,1586,466,3,0
444,1590,466,3,0
446,1589,447,2,1
446,1592,447,2,1
446,1595,424,0,3
447,1589,1589,4,0
447,1592,448,2,1
448,1585,426,0,3
448,1589,447,1,2
448,1590,449,2,1
448,1592,449,2,1
449,1592,450,2,1
450,1592,451,2,1
451,1592,452,2,1
452,1592,1592,4,0
452,1594,451,1,2
453,1592,452,1,2
455,1585,433,0,3
456,1589,455,1,2
457,1589,456,1,2
458,1589,459,2,1
459,1591,460,2,1
463,1592,464,2,1
468,1589,490,3,0
468,1592,446,0,3
469,1592,447,0,3
470,1585,448,0,3
470,1590,471,2,1
470,1592,448,0,3
471,1592,449,0,3
472,1592,450,0,3
473,1592,451,0,3
474,1592,452,0,3
474,1594,473,1,2
477,1585,455,0,3
481,1591,482,2,1
485,1592,486,2,1
488,1588,489,2,1
488,1590,510,3,0
488,1591,510,3,0
492,1585,470,0,3
492,1590,493,2,1
496,1594,495,1,2
499,1585,477,0,3
504,1588,503,1,2
507,1592,508,2,1
510,1588,509,1,2
511,1588,512,2,1
511,1591,512,2,1
514,1585,492,0,3
514,1590,515,2,1
518,1594,517,1,2
521,1585,499,0,3
526,1588,525,1,2
529,1592,530,2,1
532,1590,554,3,0
536,1585,514,0,3
536,1590,537,2,1
540,1594,539,1,2
543,1585,521,0,3
546,1588,568,3,0
548,1588,547,1,2
551,1592,552,2,1
551,1593,550,1,1
553,1584,554,2,1
554,1588,553,1,2
556,1588,534,0,3
556,1591,534,0,3
558,1585,536,0,3
558,1590,559,2,1
562,1594,561,1,2
565,1585,543,0,3
570,1588,569,1,2
573,1592,574,2,1
573,1593,572,1,1
575,1584,576,2,1
576,1590,598,3,0
579,1589,578,1,2
580,1585,558,0,3
580,1590,581,2,1
584,1594,583,1,2
587,1585,565,0,3
